taxonomy_id	name	rank	BGG_KOSDC	BGG_MOSDA	BGG_QOSDA	BGG_POSDC	BGG_BOSW	BGG_NOSDA	BGG_LOSDA	BGG_ROSDA	BGG_OOSDC
1150469	Pararhodospirillum photometricum DSM 122	strain	17	17	20	17	166	24	5	35	34
1263978	Candidatus Endolissoclinum	genus	0	0	0	0	0	0	0	0	0
1263979	Candidatus Endolissoclinum faulkneri	species	1	0	0	0	5	0	2	0	2
1401328	Candidatus Endolissoclinum faulkneri L5	strain	2	2	1	0	4	2	0	1	15
1804663	Haematospirillum	genus	0	0	0	0	0	0	0	0	0
1549855	Haematospirillum jordaniae	species	2	6	0	11	55	0	3	5	9
2844601	Stellaceae	family	0	0	0	0	0	0	0	0	0
93	Stella	genus	0	0	0	0	0	0	0	0	0
94	Stella humosa	species	1035	1380	393	1400	2239	2968	179	664	1815
2690195	Elioraeaceae	family	0	0	0	0	0	0	0	0	0
457933	Elioraea	genus	0	0	0	0	0	0	0	0	0
2619524	unclassified Elioraea	no rank	0	0	0	0	0	0	0	0	0
2843330	Elioraea tepida	species	148	91	85	128	531	155	34	94	625
2844866	Thalassospiraceae	family	0	0	0	0	11	0	4	3	0
168934	Thalassospira	genus	100	80	13	148	188	684	56	40	126
220697	Thalassospira xiamenensis	species	0	0	0	0	0	0	0	0	0
1123366	Thalassospira xiamenensis M-5 = DSM 17429	strain	2	5	1	3	10	1	3	2	10
2048283	Thalassospira marina	species	2	7	4	0	47	7	0	4	7
2648997	unclassified Thalassospira	no rank	0	0	0	0	2	0	0	0	0
2785911	Thalassospira sp. B30-1	species	2	3	5	1	18	0	0	2	5
1891279	Thalassospira indica	species	1	4	0	0	23	4	0	0	11
1182780	Magnetospira	genus	0	0	0	0	0	0	0	0	0
2685734	unclassified Magnetospira	no rank	0	0	0	0	0	0	0	0	0
1288970	Magnetospira sp. QH-2	species	5	24	3	19	122	19	7	15	27
2800060	Hyphomonadales	order	0	0	0	0	0	0	0	0	0
69657	Hyphomonadaceae	family	67	9	10	4	5	0	0	0	21
2892997	Candidatus Viadribacter	genus	0	0	0	0	0	0	0	0	0
1759059	Candidatus Viadribacter manganicus	species	4887	1120	30	444	152	111	16	36	943
85	Hyphomonas	genus	63	40	28	20	109	4	10	10	83
2630699	unclassified Hyphomonas	no rank	8	4	5	4	21	0	0	2	8
1906738	Hyphomonas sp. Mor2	species	30	12	5	13	299	4	8	18	43
1873716	Hyphomonas sp. CACIAM 19H1	species	28	25	16	7	171	2	0	9	40
2016196	Hyphomonas sp. KY3	species	20	15	9	8	152	6	7	0	26
81032	Hyphomonas neptunium	species	0	0	0	0	0	0	0	0	0
228405	Hyphomonas neptunium ATCC 15444	strain	25	49	9	25	143	3	2	10	39
2723	Hirschia	genus	0	0	0	0	0	0	0	0	0
2724	Hirschia baltica	species	0	0	0	0	0	0	0	0	0
582402	Hirschia baltica ATCC 49814	strain	13	8	0	0	28	0	2	0	19
2800059	Maricaulales	order	0	0	0	0	0	0	0	0	0
2800061	Maricaulaceae	family	73	28	2	42	100	16	4	31	35
1649466	Marinicauda	genus	0	0	0	0	0	0	0	0	0
2029849	Marinicauda algicola	species	150	592	64	146	566	141	31	78	356
1433402	Glycocaulis	genus	0	0	0	0	0	0	0	0	0
1434191	Glycocaulis alkaliphilus	species	35	13	10	7	172	13	1	7	27
74317	Maricaulis	genus	0	0	0	0	0	0	0	0	0
74318	Maricaulis maris	species	0	0	0	0	0	0	0	0	0
394221	Maricaulis maris MCS10	strain	34	94	8	127	177	171	0	20	49
2004661	Hyphobacterium	genus	0	0	0	0	0	0	0	0	0
2638931	unclassified Hyphobacterium	no rank	0	0	0	0	0	0	0	0	0
2749086	Hyphobacterium sp. CCMP332	species	10	14	8	8	184	6	6	4	55
255473	Parvularculales	order	0	0	0	0	0	0	0	0	0
255474	Parvularculaceae	family	0	0	0	0	0	0	0	0	0
208215	Parvularcula	genus	0	0	0	0	0	0	0	0	0
208216	Parvularcula bermudensis	species	0	0	0	0	0	0	0	0	0
314260	Parvularcula bermudensis HTCC2503	strain	140	62	16	45	34	6	0	26	148
766	Rickettsiales	order	7	5	2	1	6	15	7	0	17
775	Rickettsiaceae	family	1	1	0	0	3	2	0	3	13
33988	Rickettsieae	tribe	3	4	0	0	4	5	0	1	3
780	Rickettsia	genus	21	15	55	16	9	30	20	22	15
114277	spotted fever group	species group	15	10	76	11	2	67	18	29	6
2750824	unclassified spotted fever group	no rank	0	0	0	0	0	0	0	0	0
444612	Rickettsia endosymbiont of Ixodes scapularis	species	5	3	4	3	0	10	8	0	4
35791	Rickettsia massiliae	species	0	0	0	0	0	0	0	0	0
416276	Rickettsia massiliae MTU5	strain	3	0	0	0	0	0	0	7	2
109232	Rickettsia monacensis	species	2	0	8	0	0	0	0	0	0
781	Rickettsia conorii	species	0	0	0	0	0	0	0	0	0
369822	Rickettsia conorii subsp. raoultii	subspecies	2	0	0	2	0	0	0	0	8
47589	Rickettsia peacockii	species	0	0	0	0	0	0	0	0	0
562019	Rickettsia peacockii str. Rustic	strain	1	0	0	0	0	1	0	0	0
