sample	clade_name	clade_taxid	relative_abundance	estimated_number_of_reads_from_the_clade
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae|g__Aliihoeflea|s__Aliihoeflea_sp_2WW	2|1224|28211|356|69277|610116|1381123	0.03448	1093
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__GGB78011|s__GGB78011_SGB108234	2|1224|28216|80840|80864||	0.03345	1136
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_sp_Root483D2	2|1224|28211|356|82115|379|1736545	0.03341	1537
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Pseudarthrobacter|s__Pseudarthrobacter_psychrotolerans	2|201174|1760|85006|1268|1742993|2697569	0.03254	1285
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosospira|s__Nitrosospira_sp_NpAV	2|1224|28216|32003|206379|35798|58133	0.03228	846
BGG_BOSW	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aequorivita|s__Aequorivita_sp_CIP111184	2|976|117743|200644|49546|153265|2211356	0.03045	822
BGG_BOSW	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_inhibens	2|1239|91061|186826|186828|2747|147709	0.03043	584
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia_broussonetiae	2|201174|1760|85010|2070|1847|2736640	0.02968	1667
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Cryobacterium|s__Cryobacterium_sp_HLT2_23	2|201174|1760|85006|85023|69578|1259145	0.02932	833
BGG_BOSW	k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_sp_ok626	2|976|117747|200666|84566|84567|1761882	0.02899	1485
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__GGB65997|s__GGB65997_SGB89404	2|1224|28211|356|82115||	0.02876	941
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__GGB34275|s__GGB34275_SGB56795	2|1224|28211|204458|76892||	0.0279	884
BGG_BOSW	k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_hiemivivus	2|976|117747|200666|84566|84567|2530454	0.02776	1369
BGG_BOSW	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_urumqiense	2|976|117743|200644|49546|237|935224	0.02699	729
BGG_BOSW	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_petrolei	2|976|117743|200644|49546|237|2259594	0.02641	769
BGG_BOSW	k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales|f__Lacipirellulaceae|g__Lacipirellula|s__Lacipirellula_parvula	2|203682|203683|2691354|2691359|2691417|2650471	0.0262	1406
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae|g__Afipia|s__Afipia_felis	2|1224|28211|356|41294|1033|1035	0.02591	739
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_sp_EPSL27	2|201174|1760|85006|1268|1663|1745378	0.02574	821
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiaceae|g__Hyphomicrobium|s__Hyphomicrobium_album	2|1224|28211|356|45401|81|2665159	0.02452	728
